N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
173;animateur 2D et 3D / animatrice 2D et 3D;"Art ; Informatique - numérique - digital ; Cinéma - audiovisuel";Conception graphique et esthétique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;F;J;;V;V;V;V;;;;;L1202;;
175;Artiste de cirque;Art;Conception artistique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1204;;
176;Artiste peintre;Art;Conception artistique;Opérationnel;École des Beaux-Arts ou équivalent;1 200€ → 5 000€/mois (variable);L'artiste peintre crée des œuvres originales à travers différentes techniques picturales. Il expose ses œuvres en galerie et peut enseigner les arts plastiques.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;B1101;;
177;Cascadeur;"Cinéma - audiovisuel ; Art ; Sport";Activité sportive;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1206;;
178;Chanteur;"Musique ; Art ; Spectacle - divertissement";Conception artistique;Opérationnel;Formation musicale + conservatoire;1 200€ → 5 000€/mois (variable);Le chanteur interprète des morceaux musicaux seul ou en groupe, sur scène, en studio ou dans des productions audiovisuelles.;ONISEP;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1204;;
179;Chef de travaux et technicien d'art;Art;Gestion de projet;Manager;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le chef de travaux d'art supervise les artisans et techniciens chargés de la réalisation d'œuvres d'art ou de décors monumentaux. Il coordonne les équipes de peintres, sculpteurs et doreurs, gère les plannings et les budgets et veille à la qualité des réalisations selon les cahiers des charges.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;;;;;;V;;V;V;;;
180;comédien;"Art ; Cinéma - audiovisuel ; Spectacle - divertissement";Conception artistique;Opérationnel;École de théâtre / conservatoire;1 200€ → 5 000€/mois (variable);Le comédien interprète des rôles dans des films, séries, pièces de théâtre ou publicités. Il développe ses personnages et travaille avec les équipes artistiques.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;V;V;;;V;;V;;L1203;;
181;commissaire-priseur;Art;Commercial;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;T;J;;V;V;;;V;;V;;K1907;;
182;conservateur restaurateur d'art;"Art ; Culture";Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;B1403;;
183;critique d'art;Art;Étude et expertise;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;B1201;;
184;Danseur;"Art ; Musique ; Spectacle - divertissement";Conception artistique;Opérationnel;Conservatoire national à École supérieure de danse;1 200€ → 3 500€/mois;Le danseur interprète des chorégraphies dans des spectacles vivants. Il travaille dans des compagnies de danse, des opéras ou des productions musicales.;ONISEP;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1201;;
185;Décorateur d'intérieur;Art;Conception graphique et esthétique;Manager;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;H2701;;
186;Décorateur scénographe;Art;Conception artistique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;;;
187;Designer d’interaction;"Informatique - numérique - digital ; Art ; Communication";Développement et ingénierie informatique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;;;
188;Designer de réalité virtuelle;"Informatique - numérique - digital ; Art ; Jeux vidéo";Développement et ingénierie informatique;Opérationnel;Bac+3 à Bac+5 (design interactif, jeux vidéo);2 500€ → 5 000€/mois;Le designer VR conçoit des environnements et interactions pour des expériences immersives en réalité virtuelle.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;;;
189;Designer graphique;"Communication ; Art ; Informatique - numérique - digital ; Média - multimedia - publicité ; Publicité";Conception graphique et esthétique;Opérationnel;Bac+2 à Bac+5 (arts appliqués, design graphique);2 000€ → 4 000€/mois;Le designer graphique crée des visuels pour la communication : logos, affiches, supports digitaux. Il allie créativité et maîtrise des outils graphiques.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;E1205;;
190;Designer industriel;Art;Conception graphique et esthétique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;H1204;;
191;designer mobilier;Art;Conception graphique et esthétique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;E1210;;
192;Dessinateur/dessinatrice de bd;Art;Conception artistique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;M1808;;
193;Photographe;"Cinéma - audiovisuel ; Communication ; Art ; Journalisme";Conception artistique;Directeur;Bac+2 à Bac+3 (école de photographie, BTS Photographie);1 600€ → 4 000€/mois;Le photographe réalise des images pour des clients ou des projets artistiques dans des domaines variés : reportage, mode, publicité, mariage ou nature.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;E1201;;
194;Ferronnier d'art;Art;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;V;;;V;;V;;B1601;;
195;Galeriste;Art;Gestion de projet;Entrepreneur - Profession libérale;Bac+3 à Bac+5 (histoire de l'art, commerce);2 000€ → 7 000€/mois (variable);Le galeriste dirige une galerie d'art, sélectionne les artistes, organise les expositions et commercialise les œuvres.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;D1233;;
196;Maquettiste;"Art ; Communication";Conception graphique et esthétique;Opérationnel;Bac+2 à Bac+3 (DTP, design graphique);2 000€ → 3 500€/mois;Le maquettiste met en page des documents imprimés ou numériques (livres, magazines, brochures) en assemblant textes et visuels selon une charte graphique.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;V;;;V;;V;V;H2213;;
197;Modeleur 3D;"Art ; Informatique - numérique - digital";Conception graphique et esthétique;Opérationnel;Bac+2 à Bac+5 (infographie, jeux vidéo);2 200€ → 4 500€/mois;Le modeleur 3D crée des modèles numériques tridimensionnels pour des films d'animation, des jeux vidéo ou de la visualisation architecturale.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;H2908;;
198;Musicien;Art;Conception artistique;Opérationnel;Conservatoire à Bac+5 (DNSPM);1 200€ → 4 000€/mois (variable);Le musicien compose, interprète et enregistre de la musique. Il peut exercer en concert, studio d'enregistrement ou dans l'enseignement.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1202;;
199;Peintre en décors;Art;Conception artistique;Opérationnel;CAP Peinture à école des Beaux-Arts;1 700€ → 3 000€/mois;Le peintre en décors crée des trompe-l'œil et décors peints pour des plateaux de cinéma, TV ou théâtres.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;F1606;;
200;Professeur d'art plastique;Art;Formation - coaching;Opérationnel;Bac+5 (Master MEEF + concours);2 000€ → 3 600€/mois;Le professeur transmet des connaissances et développe les compétences de ses élèves. Il prépare ses cours, évalue et contribue à l'épanouissement des élèves.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;V;V;;;;V;;;;
201;Relieur-doreur;Art;Conception graphique et esthétique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;V;;;V;;V;;B1402;;
202;restaurateur/restauratrice d'oeuvres d'art;"Art ; Culture";Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;;V;V;;;V;;V;;G1413;;
203;Sculpteur;"Art ; Artisanat";Conception artistique;Entrepreneur - Profession libérale;École des Beaux-Arts ou CAP Sculpture;1 200€ → 4 500€/mois (variable);Le sculpteur crée des œuvres tridimensionnelles en utilisant divers matériaux (pierre, bois, métal, argile). Il peut travailler pour des commandes publiques ou des galeries.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;V;;;V;V;V;;B1101;;
205;Technicien laboratoire photo;"Communication ; Art";Communication;Opérationnel;Bac+2 à Bac+3 (analyses biologiques, chimie);1 900€ → 3 200€/mois;Le technicien de laboratoire réalise des analyses et expériences dans un cadre scientifique ou médical. Il prépare des échantillons et rédige des comptes-rendus.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;;V;V;;;
206;Webdesigner;"Informatique - numérique - digital ; Communication";Développement et ingénierie informatique;Entrepreneur - Profession libérale;Bac+2 à Bac+3 (design web, multimédia);2 000€ → 3 800€/mois;Le webdesigner conçoit l'aspect visuel de sites web en définissant l'ergonomie, les couleurs, les typographies et les interfaces utilisateur.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;E1210;;
207;Archetier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;B1505;;
208;Artisan glacier;Artisanat;Cuisine et gastronomie;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;V;V;;;V;;V;;A1415;;
209;bijoutier-joaillier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP Arts de la bijouterie-joaillerie à Bac+2;1 800€ → 3 500€/mois;Le bijoutier-joaillier crée et fabrique des bijoux à partir de métaux précieux et de pierres. Il travaille le métal, sertit les pierres et réalise des pièces uniques ou en série.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;V;;;V;V;V;;B1609;;
210;Boulanger;Artisanat;Cuisine et gastronomie;Entrepreneur - Profession libérale;CAP Boulanger à Bac Pro;1 650€ → 2 500€/mois;Le boulanger fabrique et vend du pain, des viennoiseries et autres produits de boulangerie. Il maîtrise les techniques de fermentation, façonnage et cuisson.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;;V;;;V;V;V;;D1102;;
211;Céramiste;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP à Bac+5 (école des Beaux-Arts);1 400€ → 3 000€/mois;Le céramiste crée des objets en céramique à des fins artistiques ou utilitaires. Il maîtrise les techniques de tournage, modelage, émaillage et cuisson.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;V;;;V;V;V;;B1201;;
212;Charpentier;Artisanat;Ingénierie et conception technique;Entrepreneur - Profession libérale;CAP Charpente bois à Bac Pro;1 750€ → 3 000€/mois;Le charpentier fabrique et pose des structures en bois pour les toitures et ossatures de bâtiments. Il travaille en atelier et sur chantier.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;V;;;V;V;V;;F1503;;
213;Cordonnier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;V;V;;;V;;V;;D1206;;
214;Diamantaire;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;B1607;;
215;Ébéniste;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP Ébéniste à Bac Pro;1 700€ → 2 800€/mois;L'ébéniste fabrique et restaure des meubles en bois de qualité. Il travaille en atelier et maîtrise les techniques de marqueterie, sculpture et finition.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;V;;;V;V;V;;H2207;;
217;Fleuriste;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP Fleuriste à Bac Pro;1 600€ → 2 300€/mois;Le fleuriste crée et vend des compositions florales pour toutes les occasions. Il entretient les plantes, conseille les clients et gère son point de vente.;ONISEP;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;;V;V;;V;V;;;D1209;;
218;Graveur;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;T;P;;V;V;;;V;;V;;B1303;;
219;Horloger;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP Horlogerie à BTS;1 700€ → 3 000€/mois;L'horloger fabrique, répare et entretient des montres et horloges. Il démonte, nettoie et règle les mécanismes avec une grande précision.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;V;;;V;V;V;;B1604;;
220;Lapidaire;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;S;T;P;;V;V;;;V;;V;;B1607;;
221;Lithographe;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;T;P;;V;V;;;V;;V;;B1101;;
222;Luthier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP Luthier à Bac+3 (IESTA);1 700€ → 3 500€/mois;Le luthier fabrique et répare des instruments à cordes. Il travaille le bois avec une grande précision pour garantir les qualités acoustiques et esthétiques des instruments.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;T;P;;;V;;;V;V;V;;B1505;;
223;Metallier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;E;S;T;J;;V;V;;;V;;V;;B1601;;
224;Mosaïste;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;T;P;;V;V;;;V;;V;;B1102;;
225;Patissier;"Agroalimentaire ; Artisanat ; Hôtellerie - restauration - gastronomie";Cuisine et gastronomie;Entrepreneur - Profession libérale;CAP Pâtissier à Bac Pro;1 650€ → 2 600€/mois;Le pâtissier crée et fabrique des gâteaux, entremets, petits fours et confiseries. Il travaille en pâtisserie, restaurant ou grande surface.;ONISEP;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;;V;;;V;V;V;;D1104;;
226;Polisseur;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;S;T;P;;V;V;;;V;;V;;H3405;;
228;Bourrelier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;E;S;T;J;;V;V;;;V;;V;;B1809;;
229;Sertisseur;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;T;P;;V;V;;;V;;V;;B1610;;
230;Shaper;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;V;V;;;V;;V;;H1204;;
231;Tailleur de pierre;Artisanat;Conception artistique;Entrepreneur - Profession libérale;CAP Taille de pierre à Bac Pro;1 750€ → 3 000€/mois;Le tailleur de pierre sculpte et taille la pierre pour la construction ou la restauration de monuments. Il travaille avec des outils traditionnels et des machines modernes.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;T;P;;;V;;;V;V;V;;F1612;;
232;Tapissier d'ammeublement;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;V;;;V;;V;;B2101;;
233;Vannier;Artisanat;Conception artistique;Entrepreneur - Profession libérale;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;S;F;P;;V;V;;;V;;V;;B1401;;
234;Vitrailliste/maitre verrier;Artisanat;Conception artistique;Opérationnel;CAP à Bac+3 (arts du verre);1 600€ → 3 000€/mois;Le maître verrier crée et restaure des vitraux. Il découpe le verre, assemble les pièces avec du plomb et utilise des techniques de peinture sur verre.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;V;;;V;;V;;B1602;;
235;Actuaire;"Assurance ; Banque - finance";Étude et expertise;Opérationnel;Bac+5 (école actuariat, grandes écoles);3 500€ → 7 000€/mois;L'actuaire calcule les risques financiers et assure la modélisation statistique pour les compagnies d'assurance, les banques et les fonds de pension.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;V;;;;V;V;C1105;;
236;No-codeur / No-codeuse;Informatique - numérique - digital;Développement et ingénierie informatique;Entrepreneur - Profession libérale;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le no-codeur conçoit des applications, sites web ou automatisations sans écrire de code, en utilisant des plateformes visuelles (Bubble, Webflow, Zapier, Make). Il crée des solutions digitales fonctionnelles pour les entreprises sans passer par le développement traditionnel.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;E1122;;
