Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Directeur export;"Cinéma - audiovisuel ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction";Conception artistique;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le directeur du domaine conception artistique dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;G1214;;
Directeur marketing international;"Commerce ; Informatique - numérique - digital ; Agroalimentaire ; Médical - santé - Pharmaceutique ; Mode - textile ; Luxe ; Banque - finance ; Assurance ; Automobile";Communication;→ Fiche métier;Opérationnel;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le directeur du domaine communication dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;M1715;;
Gestionnaire import export;"Cinéma - audiovisuel ; Administration ; Commerce ; Banque - finance ; Industrie ; Informatique - numérique - digital";Conception artistique;→ Fiche métier;Directeur;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;;;Oui;;;Oui;Oui;D1403;;
Gestionnaire litiges;"Cinéma - audiovisuel ; Administration ; Commerce ; Banque - finance ; Industrie ; Informatique - numérique - digital";Production;→ Fiche métier;Directeur;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;;;Oui;;;Oui;Oui;M1212;;
gestionnaire service client;"Cinéma - audiovisuel ; Administration ; Commerce ; Banque - finance ; Industrie ; Informatique - numérique - digital";Production;→ Fiche métier;Directeur;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;E;N;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;;;Oui;;;Oui;Oui;M1704;;
Négociateur international;Cinéma - audiovisuel;Approvisionnement;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;M1101;;
Responsable ADV export;"Commerce international ; Commerce";Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le responsable ADV export pilote l'administration des ventes à l'international : traitement des commandes, suivi logistique, gestion des litiges et relation avec les clients étrangers.;Bac+3 à Bac+5 commerce international;3 000€ → 5 000€/mois;;Oui;;;Oui;;;Oui;;D1504;;
Responsable directeur filialle;"Commerce ; Administration";Stratégie;→ Fiche métier;Directeur;;;ENTP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;N;T;P;Le directeur de filiale dirige une entité locale d'un groupe. Il définit la stratégie, manage les équipes, gère le P&L et représente la filiale auprès des partenaires locaux.;Bac+5 école de commerce ou ingénieurs;5 000€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;G1802;;
Responsable export à l'international;"Commerce international ; Commerce";Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;Le responsable export développe les ventes à l'étranger. Il prospecte de nouveaux marchés, gère les distributeurs locaux et suit les résultats commerciaux sur sa zone géographique.;Bac+3 à Bac+5 commerce international;3 500€ → 6 000€/mois;;Oui;;;Oui;;;Oui;;D1414;;
Responsable import export;"Commerce international ; Commerce";Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le responsable import-export coordonne les flux de marchandises entre la France et l'étranger. Il gère les fournisseurs, les transitaires et assure la conformité douanière des opérations.;Bac+3 à Bac+5 commerce international;3 000€ → 5 500€/mois;;Oui;;;Oui;;;Oui;;M1207;;
Commercial international;"Cinéma - audiovisuel ; Commerce ; Informatique - numérique - digital ; Industrie ; Agroalimentaire ; Médical - santé - Pharmaceutique ; Automobile ; Énergie";Conception artistique;→ Fiche métier;Opérationnel;;;ENTP;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;N;T;P;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;M1715;;
Trader;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;ENTP;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;N;T;P;Le trader achète et vend des actifs financiers (actions, obligations, devises) pour le compte de sa banque ou de ses clients.;Bac+5 (grande école, finance);4 000€ → 15 000€/mois (variable);;Oui;Oui;;;Oui;;Oui;;C1301;;
Transitaire agent de transit;Cinéma - audiovisuel;Installation et/ou maintenance;→ Fiche métier;Opérationnel;;;ENTP;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;N;T;P;Le transitaire organise le transport international de marchandises, gère les formalités douanières et coordonne les différents intervenants de la chaîne logistique.;Bac+2 (BTS Transport et Prestations Logistiques);2 000€ → 3 500€/mois;;Oui;Oui;;;Oui;;Oui;;N1103;;
Vendeur commercial export;"Cinéma - audiovisuel ; Commerce ; Informatique - numérique - digital ; Industrie ; Agroalimentaire ; Médical - santé - Pharmaceutique ; Automobile ; Énergie";Conception artistique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;D1403;;
vendeur export;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;ENTP;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;N;T;P;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;D1403;;
conception graphique;Cinéma - audiovisuel;Conception graphique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;;;
Conseiller en image;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;D1424;;
chef de pub;Cinéma - audiovisuel;Production;→ Fiche métier;Directeur;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;H1233;;
directeur artistique;"Communication ; Cinéma - audiovisuel ; Mode - textile ; Médias - multimédia - publicité ; Luxe ; Art ; Jeux vidéo ; Publicité ; Édition et métier du livre - littérature";Conception artistique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le directeur artistique définit l'identité visuelle des projets créatifs. Il supervise les équipes de création graphique, photo, vidéo.;Bac+4 à Bac+5 (arts appliqués, design, école de com);3 500€ → 7 000€/mois;;Oui;;Oui;Oui;;;Oui;;H2510;;
Directeur de communication;"Cinéma - audiovisuel ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction";Conception artistique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le directeur de communication définit et pilote la stratégie de communication globale de l'organisation. Il supervise les équipes et les agences partenaires.;Bac+5 (école de commerce ou de communication);4 500€ → 9 000€/mois;;Oui;;Oui;Oui;;;Oui;;D1406;;
soudeur;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le soudeur assemble des pièces métalliques par fusion et solidification en utilisant diverses techniques de soudage. Il travaille en industrie, sur chantiers ou en ateliers.;CAP Soudeur à Bac Pro;1 750€ → 2 800€/mois;;;Oui;;;Oui;Oui;Oui;;H2912;;
infographiste;"Communication ; Médias - multimédia - publicité ; Informatique - numérique - digital ; Mode - textile ; Luxe ; Édition et métier du livre - littérature ; Cinéma - audiovisuel ; Art ; Événementiel";Communication;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;L'infographiste crée des visuels numériques pour la communication, l'édition ou le web en maîtrisant les logiciels graphiques.;Bac+2 à Bac+5 (arts appliqués);2 000€ → 3 500€/mois;;;Oui;;;Oui;;Oui;Oui;E1205;;
Rédacteur de presse écrite;"Cinéma - audiovisuel ; Journalisme ; Communication ; Édition et métier du livre - littérature ; Médias - multimédia - publicité ; Informatique - numérique - digital";Conception artistique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;E1106;;
Responsable d’usine de production d’eau potable;"Cinéma - audiovisuel ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien";Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le responsable de production supervise les processus de fabrication, gère les équipes et optimise les indicateurs de performance industrielle.;Bac+3 à Bac+5 (génie industriel);3 200€ → 6 000€/mois;;Oui;;;Oui;;;Oui;;K2316;;
Chef de chantier en génie climatique et sanitaire;Cinéma - audiovisuel;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;;;
Solier-moquettiste;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le solier-moquettiste pose et entretient des revêtements de sol souples dans les bâtiments.;CAP Solier-moquettiste à Bac Pro;1 700€ → 2 800€/mois;;Oui;Oui;;;Oui;;Oui;;F1609;;
Roughman;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le roughman est technicien de forage pétrolier. Il assemble et démonte les équipements de forage sur les plateformes.;CAP à Bac Pro + formation terrain;3 000€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;E1205;;
Élagueur;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;L'élagueur taille et abat les arbres pour des raisons de sécurité ou d'entretien. Il travaille en hauteur avec des équipements spécialisés dans des espaces publics ou privés.;CAP Arboriste-élagueur à Bac Pro;1 700€ → 2 800€/mois;Oui;;;;;Oui;Oui;Oui;;A1209;;
Garde-chasse;Cinéma - audiovisuel;Conception artistique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;A1204;;
Collaborateur de groupe politique;Commerce;Achat - approvisionnement;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le collaborateur de groupe politique soutient un groupe parlementaire dans son travail législatif et administratif.;Bac+4 à Bac+5 (droit, Sciences Po);2 500€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Négociateur d'affaire;Commerce;Administratif;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le négociateur d'affaires mène des négociations commerciales complexes pour conclure des contrats ou partenariats stratégiques.;Bac+3 à Bac+5 (commerce, droit des affaires);3 000€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;F1133;;
Chef comptable;"Comptabilité - gestion - contrôle de gestion ; Banque - finance ; Commerce";Comptabilité;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le chef comptable supervise la comptabilité d'une organisation. Il manage l'équipe comptable, garantit la fiabilité des comptes, établit les bilans et coordonne les audits.;Bac+3 à Bac+5 (comptabilité, DCG, DSCG);3 500€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;M1225;;
Comptable;"Comptabilité - gestion - contrôle de gestion ; Commerce ; Industrie ; Banque - finance ; Administration ; Agroalimentaire ; Informatique - numérique - digital ; Médical - santé - Pharmaceutique";Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le comptable tient les livres de comptes, enregistre les opérations financières et prépare les déclarations fiscales de l'entreprise.;Bac+2 (BTS Comptabilité) à Bac+5 (DSCG);2 000€ → 3 800€/mois;;;;Oui;;;;Oui;Oui;M1203;;
Controleur auditeur de machine à sous;"Banque - finance ; Comptabilité - gestion - contrôle de gestion ; Commerce ; Industrie ; Administration ; Assurance";Marketing;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Ce professionnel de la banque ou de la finance gère des opérations financières, conseille des clients ou analyse des risques.;Bac+3 à Bac+5 (banque, finance, école de commerce);2 500€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Contrôleur de gestion;"Comptabilité - gestion - contrôle de gestion ; Commerce ; Banque - finance ; Industrie";Finance;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le contrôleur de gestion analyse les performances financières de l'entreprise. Il élabore les budgets, suit les indicateurs, réalise des reportings et formule des recommandations d'optimisation.;Bac+4 à Bac+5 (contrôle de gestion, finance);3 000€ → 5 500€/mois;;Oui;;Oui;;;;Oui;Oui;M1208;;
directeur des services pénitentiaires;"Commerce ; Informatique - numérique - digital ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction ; Transport - logistique - approvisionnement";Marketing;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le directeur des services pénitentiaires gère un établissement pénitentiaire sur les plans humain, financier et sécuritaire.;ENAP (École Nationale de l'Administration Pénitentiaire) + Bac+5;3 500€ → 6 500€/mois;;Oui;;Oui;Oui;;;Oui;;;;
Expert comptable;"Comptabilité - gestion - contrôle de gestion ; Commerce ; Industrie ; Banque - finance ; Administration ; Agroalimentaire ; Informatique - numérique - digital ; Médical - santé - Pharmaceutique";Marketing;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;N;T;J;L'expert-comptable tient les comptes, établit les bilans et conseille ses clients (entreprises, associations) sur leur gestion financière, fiscale et sociale.;Bac+5 (DEC - Diplôme d'Expertise Comptable);3 000€ → 7 000€/mois;;;;Oui;Oui;;;Oui;Oui;M1211;;
Administrateur de monument historique;Commerce;Marketing;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;L'administrateur de monument historique gère un site classé : organisation des visites, conservation, animation culturelle et relations institutionnelles.;Bac+5 (histoire, gestion du patrimoine);2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;K1601;;
Animateur de l'architecture et du patrimoine;"Culture ; Enseignement";Formation - coaching;→ Fiche métier;Opérationnel;;;ENTP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;E;N;T;P;L'animateur de l'architecture et du patrimoine sensibilise le public à la culture architecturale et patrimoniale. Il conçoit des visites, ateliers et expositions pour différents publics.;Bac+3 médiation culturelle + CAAP;1 800€ → 2 800€/mois;;Oui;Oui;Oui;Oui;;;;;;;
Animateur du patrimoine;Commerce;Marketing;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;N;F;J;L'animateur du patrimoine fait découvrir les richesses historiques et architecturales d'un territoire au grand public. Il conçoit des visites, ateliers et événements culturels.;Bac+3 (histoire, médiation culturelle) + carte guide-conférencier;1 700€ → 2 800€/mois;;Oui;Oui;Oui;Oui;;;;;F1121;;
Archéologue;Énergie;Commercial;→ Fiche métier;Opérationnel;BTS fluides, énergies, domotique - Licence pro mention métiers de l'énergétique - Master sciences, mentions énergie ou énergétique, thermique - Diplôme d'ingénieur en génie climatique ou thermique;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;L'archéologue fouille et étudie les vestiges du passé pour reconstituer l'histoire des civilisations.;Bac+5 à Doctorat (archéologie, histoire);2 000€ → 3 800€/mois;;;Oui;;;Oui;;Oui;;K2125;;
Architecte du patrimoine;Commerce;Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;BTS MCO - BUT TC - BTS NDRC;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;L'architecte du patrimoine spécialisé conçoit des projets de restauration et de réhabilitation de monuments historiques en respectant les techniques et matériaux d'origine.;Bac+5 + DPEA Architecture du patrimoine;3 000€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;F1121;;
Attaché culturel;Commerce;Marketing;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;L'attaché culturel représente les intérêts culturels d'un pays à l'étranger. Il organise des événements artistiques, des échanges et développe les partenariats culturels internationaux.;Bac+5 (relations internationales, diplomatie, arts);2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;K1808;;
Attaché de conservation du patrimoine;Commerce;Marketing;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;L'attaché de conservation du patrimoine gère et valorise des collections dans les musées ou archives. Il organise des expositions et assure la conservation préventive.;Concours de la fonction publique territoriale (Bac+3 min);2 000€ → 3 500€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Chargée d'études documentaires;Commerce;Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;BTS communication - BTS design graphique - BUT IC -LP Métiers de la communication - master information communication -diplôme ecole de commerce en communication - master marketing;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le chargé d'études mène des analyses et études sur des sujets complexes pour éclairer les décisions. Il produit des rapports et recommandations.;Bac+4 à Bac+5 (selon spécialité);2 500€ → 4 500€/mois;;Oui;;;;;;Oui;Oui;K1735;;
Commissaire d'exposition;"Art ; Culture ; Administration";Commercial;→ Fiche métier;Directeur;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le commissaire d'exposition conçoit et organise des expositions artistiques ou culturelles. Il sélectionne les œuvres, rédige les textes et coordonne la scénographie.;Bac+5 (histoire de l'art, arts, curation);2 500€ → 5 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1605;;
Commissaire priseur;Commerce;Marketing;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le commissaire-priseur dirige des ventes aux enchères publiques. Il expertise les objets, authentifie les œuvres et conduit les enchères avec autorité.;Bac+5 (droit + école de commissaires-priseurs) + agrément ministériel;2 500€ → 8 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1907;;
Conseiller culturel;Commerce;Commercial;→ Fiche métier;Entrepreneur - Profession libérale;BTS MCO - BUT TC - BTS NDRC;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le conseiller culturel accompagne les élus et institutions dans leur politique culturelle. Il coordonne les projets artistiques et gère les partenariats avec les acteurs culturels.;Bac+4 à Bac+5 (administration culturelle, sciences po);2 200€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;K2101;;
Conservateur de l'inventaire général;Commerce;Commercial;→ Fiche métier;Opérationnel;https://www.cidj.com/metiers/commercial-commerciale;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le conservateur de l'inventaire général recense et documente le patrimoine culturel d'un territoire pour le préserver et le transmettre aux générations futures.;Bac+5 + concours patrimoine (INSP ou territorial);2 500€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
conservateur des archives;"Administration ; Culture";Administratif;→ Fiche métier;Opérationnel;BTS MCO - BUT TC - BTS NDRC;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le conservateur des archives collecte, classe, conserve et valorise les documents historiques. Il assure la consultation des fonds par les chercheurs et le grand public.;Concours conservateur + formation INP;2 500€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;B1403;;
